store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
1139,2016,167023,170,Main shopping street,06/02/1995,9431,0,1,1,3,0,37,3,16,59,3,0,0.183462532,2.941176471
1153,2016,374265,211,Main shopping street,09/03/1995,6871,0,0,0,3,0,17,5,9,23,2,0,0.081314879,6.63507109
1148,2016,348133,365,Main shopping street,09/03/1995,15514,0,0,0,2,0,24,2,8,49,2,0,0.321428571,7.945205479
1151,2016,559155,350,Main shopping street,28/03/1995,28999,3,1,1,17,6,157,13,65,207,8,2,0.257190635,10.60571429
1164,2016,208980,98,Main shopping street,30/03/1995,5291,0,0,3,2,0,24,2,6,18,2,0,0.12539185,3.693877551
1166,2016,237692,330,Main shopping street,11/04/1995,38215,0,0,1,31,11,244,16,82,293,15,7,0.294201861,4.545454545
1165,2016,467168,247,Pedestrian zone,04/05/1995,150371,0,0,0,18,3,135,30,59,399,1,0,0.128470692,17.34251012
1171,2016,297153,300,Outskirts / residential,10/05/1995,6902,2,0,0,3,1,18,4,12,20,2,0,0.174107143,6.666666667
1168,2016,572636,371,Outskirts / residential,11/05/1995,23127,0,0,2,6,1,141,7,41,155,4,0,0.294457667,7.277628032
1196,2016,285862,280,Specialist retail center,20/07/1995,29672,0,0,0,5,3,59,9,26,69,0,0,0.081938834,5.535714286
1195,2016,602643,295,Pedestrian zone,27/07/1995,22491,3,0,2,10,2,130,13,59,176,6,2,0.260326276,17.45762712
1206,2016,203925,170,Main shopping street,05/09/1995,5030,0,0,0,0,0,9,3,9,15,0,0,0.183018868,5.588235294
1202,2016,319035,412,Shopping center,21/09/1995,20297,2,0,0,10,1,126,9,50,105,8,1,0.211153981,3.939320388
1200,2016,234661,176,Main shopping street,26/09/1995,157496,2,0,0,14,4,181,14,88,308,3,0,0.328482328,11.86125
1218,2016,326018,364,Shopping center,16/10/1995,11484,4,0,0,7,1,39,4,81,57,3,0,0.175182482,7.967032967
1224,2016,210597,285,Outskirts / residential,23/10/1995,13819,2,0,0,5,1,39,4,37,59,2,0,0.176425856,3.684210526
1209,2016,278987,314,Main shopping street,06/11/1995,5693,0,0,1,3,0,19,2,5,29,3,0,0.127107652,3.025477707
1222,2016,365781,293,Outskirts / residential,09/11/1995,34263,0,0,0,7,1,143,8,54,102,4,0,0.231684554,6.552901024
1212,2016,259145,227,Main shopping street,27/11/1995,14732,0,0,1,3,1,33,5,12,28,2,0,0.122340426,8.303964758
1223,2016,392146,290,Specialist retail center,05/03/1996,12879,0,0,0,3,1,69,5,27,52,3,1,0.186385737,9.120689655
1229,2016,206406,237,Pedestrian zone,05/03/1996,31655,0,0,2,6,1,82,8,52,100,2,0,0.184065934,
1227,2016,295588,347,Main shopping street,11/03/1996,8421,0,0,0,7,2,30,8,22,52,4,2,0.204975124,4.610951009
1249,2016,265952,196,Main shopping street,14/03/1996,8171,0,2,2,5,0,13,4,8,28,3,0,0.218137255,5.625
1246,2016,351379,326,Outskirts / residential,21/03/1996,61393,0,0,0,27,11,319,22,144,267,12,7,0.296960743,7.82208589
1245,2016,294948,250,Main shopping street,25/03/1996,16061,0,0,0,4,2,51,6,28,49,4,2,0.163844394,8
1237,2016,316368,200,Outskirts / residential,02/04/1996,8341,1,0,0,4,1,94,7,48,105,4,1,0.103975535,6.75
1220,2016,387765,248,Pedestrian zone,06/05/1996,18556,0,0,0,10,3,140,13,43,104,5,2,0.108280255,11.69354839
1255,2016,283317,249,Pedestrian zone,25/06/1996,92877,0,1,1,22,7,234,15,123,247,3,0,0.26405868,7.802851406
1238,2016,261697,205,Pedestrian zone,25/06/1996,14301,2,0,0,3,1,91,9,23,120,2,1,0.129153018,6.829268293
1251,2016,377654,265,Pedestrian zone,27/06/1996,19335,0,0,0,4,0,66,2,32,61,2,0,0.185699039,7.169811321
1260,2016,206799,134,Outskirts / residential,22/07/1996,6899,1,0,0,5,2,40,4,9,21,4,1,0.146122449,
1267,2016,346606,394,Shopping center,29/08/1996,19674,0,2,4,8,3,101,11,43,178,1,1,0.118560916,4.949238579
1242,2016,441160,301,Specialist retail center,30/09/1996,11369,2,0,0,2,1,15,7,12,28,2,1,0.116194626,9.973355482
1274,2016,363772,297,Pedestrian zone,14/11/1996,161585,3,0,2,41,21,278,23,105,161,14,8,0.188078937,18.18181818
1286,2016,320949,317,Specialist retail center,14/01/1997,23614,1,0,0,8,4,95,12,45,96,1,0,0.240939255,10.00946372
1279,2016,317335,203,Specialist retail center,22/01/1997,8398,0,0,0,4,1,21,4,13,107,2,1,0.177272727,6.679802956
1281,2016,241065,148,Outskirts / residential,01/03/1997,43529,1,2,2,9,3,109,12,54,168,5,2,0.081455806,
1288,2016,421057,318,Pedestrian zone,10/03/1997,6017,2,0,0,4,2,31,6,16,31,4,2,0.131889764,5.031446541
